Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
5,33,Tri,4444 (2988),PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue,red_blue,4444 (2988)_Tri_red_blue
6,16,Tri,4543 (5232),PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,4543 (5232)_Tri_purple
6,2,Tri,4777-A,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,4777-A_Tri_pink
6,2,Tri,4777-B,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue,orange_blue,4777-B_Tri_orange_blue
6,2,Tri,4777-C,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,4777-C_Tri_yellow
6,1,Tri,5229_red,PlantW-SoilW-FungW,W,W,W,1,red,red,5229_red_Tri_red
5,22,Tri,5229_white,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,5229_white_Tri_blue
5,14,Tri,flag1_tri,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,flag1_tri_Tri_orange
5,3,Mai,flag2,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,flag2_Mai_pink
5,14,Tri,flag2_tri,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,flag2_tri_Tri_pink
5,14,Tri,flag3_tri,PlantW-SoilW-FungW,W,W,W,1,red,red,flag3_tri_Tri_red
3,32,Mai,TT24-101,PlantW-SoilNW-FungW,W,NW,W,3,pink,pink,TT24-101_Mai_pink
3,32,Mai,TT24-102,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,TT24-102_Mai_orange
6,27,Mai,TT24-104,PlantW-SoilNW-FungW,W,NW,W,3,pink,pink,TT24-104_Mai_pink
6,27,Mai,TT24-106,PlantW-SoilW-FungW,W,W,W,1,red,red,TT24-106_Mai_red
3,13,Mai,TT24-110,PlantW-SoilNW-FungW,W,NW,W,2,pink,pink,TT24-110_Mai_pink
3,8,Mai,TT24-111,PlantW-SoilW-FungW,W,W,W,1,red,red,TT24-111_Mai_red
3,2,Mai,TT24-112,PlantW-SoilNW-FungNW,W,NW,NW,3,yellow,yellow,TT24-112_Mai_yellow
6,8,Mai,TT24-130,PlantW-SoilW-FungNW,W,W,NW,2,orange,orange,TT24-130_Mai_orange
6,9,Mai,TT24-131,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,TT24-131_Mai_pink
6,2,Mai,TT24-132,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue,orange_blue,TT24-132_Mai_orange_blue
6,20,Mai,TT24-135,PlantW-SoilNW-FungW,W,NW,W,2,pink,pink,TT24-135_Mai_pink
